time	trips
03/22/2020	2143175.4666666654
03/23/2020	2048541.7447619182
03/24/2020	1939991.2990476342
03/25/2020	2059675.1238095192
03/26/2020	2017768.0169176504
03/27/2020	1247032.5941465271
03/28/2020	1255692.5427169937
03/29/2020	1948488.428353961
03/30/2020	1936941.830259929
03/31/2020	1821475.8493204664
04/01/2020	1708896.5179045005
04/02/2020	1394251.719844339
04/03/2020	1527037.5979248122
04/04/2020	1489511.1541194345
04/05/2020	1815702.5502735595
04/06/2020	1876322.1902667237
04/07/2020	1882095.489313741
04/08/2020	1841682.3959848753
04/09/2020	1778176.1064681855
04/10/2020	1749309.611233319
04/11/2020	995894.0856030927
04/12/2020	1804155.9521795502
04/13/2020	1879208.8397901678
04/14/2020	1977354.9235888307
04/15/2020	1980241.5731123274
04/16/2020	1954261.7274009055
04/17/2020	1962921.6759713588
04/18/2020	1824362.4988439
04/19/2020	2035087.9140584855
04/20/2020	2118800.7502396326
04/21/2020	2271793.174984659
04/22/2020	2202513.5864208345
04/23/2020	2141893.9464275534
04/24/2020	2162100.4930919325
04/25/2020	2113027.4511927348
04/26/2020	2346846.062595104
04/27/2020	2170760.4416623963
04/28/2020	2355506.0111656706
04/29/2020	2491178.5387695776
04/30/2020	2029314.6150115277
05/01/2020	2084160.95595788
05/02/2020	1991788.1712061854
05/03/2020	2205400.235944211
05/04/2020	2075501.0073873636
05/05/2020	2231380.081655664
05/06/2020	2156327.1940450417
05/07/2020	2133233.9978571204
05/08/2020	2000448.119776663
05/09/2020	1980241.5731123274
05/10/2020	2283339.7730784556
05/11/2020	2297773.020695839
05/12/2020	2202513.5864208345
05/13/2020	2251586.6283200365
05/14/2020	2271793.174984659
05/15/2020	2095707.554051719
05/16/2020	2009108.068347089
05/17/2020	2502089.919545024
05/18/2020	2496284.6065066922
05/19/2020	2621098.836832007
05/20/2020	2612390.8672743044
05/21/2020	2586266.958601656
05/22/2020	2371470.376181271
05/23/2020	2185700.358952963
05/24/2020	2345346.467508581
05/25/2020	2577558.989044087
05/26/2020	2621098.836832007
05/27/2020	2502089.919545024
05/28/2020	2444036.7891611494
05/29/2020	2417912.8804883943
05/30/2020	2423718.1935267486
05/31/2020	2484673.980429836
06/01/2020	2473063.3543530907
06/02/2020	2522408.515179381
06/03/2020	2525311.171698643
06/04/2020	2560143.0499289213
06/05/2020	2475966.0108723156
06/06/2020	2348249.124027757
06/07/2020	2525311.171698643
06/08/2020	2444036.7891611494
06/09/2020	2499187.2630258366
06/10/2020	2618196.18031279
06/11/2020	2635612.119427938
06/12/2020	2589169.6151208607
06/13/2020	2568851.0194865204
06/14/2020	2664638.6846198956
06/15/2020	2690762.59329264
06/16/2020	2699470.5628501745
06/17/2020	2563045.706448103
06/18/2020	2725594.4715229175
06/19/2020	2612390.8672743044
06/20/2020	2641417.432466267
06/21/2020	2716886.501965367
06/22/2020	2708178.5324078295
06/23/2020	2719789.1584845455
06/24/2020	2760426.3497533016
06/25/2020	2679151.967215878
06/26/2020	2754621.0367148705
06/27/2020	2621098.836832007
06/28/2020	2716886.501965367
06/29/2020	2708178.5324078295
06/30/2020	2719789.1584845455
07/01/2020	2760426.3497533016
07/02/2020	2679151.967215878
07/03/2020	2754621.0367148705
07/04/2020	2621098.836832007
07/05/2020	2716886.501965367
07/06/2020	2708178.5324078295
07/07/2020	2719789.1584845455
07/08/2020	2760426.3497533016
07/09/2020	2679151.967215878
07/10/2020	2754621.0367148705
07/11/2020	2621098.836832007
07/12/2020	2716886.501965367
07/13/2020	2708178.5324078295
07/14/2020	2719789.1584845455
07/15/2020	2760426.3497533016
07/16/2020	2679151.967215878
07/17/2020	2754621.0367148705
07/18/2020	2621098.836832007
07/19/2020	2716886.501965367
07/20/2020	2708178.5324078295
07/21/2020	2719789.1584845455
07/22/2020	2760426.3497533016
07/23/2020	2679151.967215878
07/24/2020	2754621.0367148705
07/25/2020	2621098.836832007
07/26/2020	2716886.501965367
07/27/2020	2708178.5324078295
07/28/2020	2719789.1584845455
07/29/2020	2760426.3497533016
07/30/2020	2679151.967215878
07/31/2020	2754621.0367148705
08/01/2020	2621098.836832007
08/02/2020	2716886.501965367
08/03/2020	2708178.5324078295
08/04/2020	2719789.1584845455
08/05/2020	2760426.3497533016
08/06/2020	2679151.967215878
08/07/2020	2754621.0367148705
08/08/2020	2621098.836832007
08/09/2020	2716886.501965367
08/10/2020	2708178.5324078295
08/11/2020	2719789.1584845455
08/12/2020	2760426.3497533016
08/13/2020	2679151.967215878
08/14/2020	2754621.0367148705
08/15/2020	2621098.836832007
08/16/2020	2716886.501965367
08/17/2020	2708178.5324078295
08/18/2020	2719789.1584845455
08/19/2020	2760426.3497533016
08/20/2020	2679151.967215878
08/21/2020	2754621.0367148705
08/22/2020	2621098.836832007
08/23/2020	2716886.501965367
08/24/2020	2708178.5324078295
08/25/2020	2719789.1584845455
08/26/2020	2760426.3497533016
08/27/2020	2679151.967215878
08/28/2020	2754621.0367148705
08/29/2020	2621098.836832007
08/30/2020	2716886.501965367
08/31/2020	2708178.5324078295
09/01/2020	2719789.1584845455
09/02/2020	2760426.3497533016
09/03/2020	2679151.967215878
09/04/2020	2754621.0367148705
09/05/2020	2621098.836832007
09/06/2020	2716886.501965367
09/07/2020	2708178.5324078295
09/08/2020	2719789.1584845455
09/09/2020	2760426.3497533016
09/10/2020	2679151.967215878
09/11/2020	2754621.0367148705
09/12/2020	2621098.836832007
09/13/2020	2716886.501965367
09/14/2020	2708178.5324078295
09/15/2020	2719789.1584845455
09/16/2020	2760426.3497533016
09/17/2020	2679151.967215878
09/18/2020	2754621.0367148705
09/19/2020	2621098.836832007
09/20/2020	2716886.501965367
09/21/2020	2708178.5324078295
09/22/2020	2719789.1584845455
09/23/2020	2760426.3497533016
09/24/2020	2679151.967215878
09/25/2020	2754621.0367148705
09/26/2020	2621098.836832007
09/27/2020	2716886.501965367
09/28/2020	2708178.5324078295
09/29/2020	2719789.1584845455
09/30/2020	2760426.3497533016
10/01/2020	2679151.967215878
10/02/2020	2754621.0367148705
10/03/2020	2621098.836832007
10/04/2020	2716886.501965367
10/05/2020	2708178.5324078295
10/06/2020	2719789.1584845455
10/07/2020	2760426.3497533016
10/08/2020	2679151.967215878
10/09/2020	2754621.0367148705
